link,title,variation
https://shopee.vn/Thuốc-nhuộm-tóc-màu-Đen-tuyền-không-tẩy-dưỡng-tóc-sử-dụng-tại-nhà-tặng-kèm-trợ-nhuộm-và-gang-tay-HarryColor-i.320974472.7858313664?sp_atk=3b737631-2ce8-42bd-a008-cd2d709b1540&xptdk=3b737631-2ce8-42bd-a008-cd2d709b1540,Thuốc nhuộm tóc màu Đen tuyền không tẩy - dưỡng tóc sử dụng tại nhà + tặng kèm trợ nhuộm và gang tay | HarryColor,ĐEN THAN CHÌ
https://shopee.vn/Thuốc-nhuộm-tóc-màu-Đen-tuyền-Happi.Hair-cao-cấp-an-toàn-nội-địa-Trung-i.7785865.11125099420?sp_atk=bd79c91a-b76f-4cf6-8bf3-e4cde38ee01c&xptdk=bd79c91a-b76f-4cf6-8bf3-e4cde38ee01c,"Thuốc nhuộm tóc màu Đen tuyền, Happi.Hair , cao cấp , an toàn, nội địa Trung",Thuốc dưỡng tốt
https://shopee.vn/Thuốc-nhuộm-tóc-màu-Đen-Thuần-Đen-Tuyền-Đen-Tự-Nhiên-hạ-nền-kèm-trợ-dưỡng-găng-tay-thuocnhuomtoc60k.hanoi-i.124896542.1904358549?sp_atk=bd558434-c833-4004-8b0c-3fe160f2b872&xptdk=bd558434-c833-4004-8b0c-3fe160f2b872,"Yêu thích+Thuốc nhuộm tóc màu Đen Thuần, Đen Tuyền, Đen Tự Nhiên hạ nền kèm trợ dưỡng găng tay thuocnhuomtoc60k.hanoi",Đen tự nhiên|||Dưỡngcollagenkeratin
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-Đen-Tuyền-2-0-Pure-Naturals-Hair-Dye-Cream-i.125347458.11317554713?sp_atk=d6487fcc-ad75-4155-92c1-612d949c75c8&xptdk=d6487fcc-ad75-4155-92c1-612d949c75c8,Yêu thíchThuốc Nhuộm Tóc Màu Đen Tuyền 2/0 Pure Naturals Hair Dye Cream,tuýp màu - oxi 6
https://shopee.vn/Thuốc-nhuộm-tóc-màu-Đen-Thuần-Đen-Tuyền-Đen-Tự-Nhiên-hạ-nền-Tặng-Oxy-Trợ-Nhuộm-Găng-Tay-Mũ-Ủ-i.290629259.11497292076?sp_atk=074e5787-a1db-4e03-b772-dc7dfedb4fb1&xptdk=074e5787-a1db-4e03-b772-dc7dfedb4fb1,"Yêu thích+Thuốc nhuộm tóc màu Đen Thuần, Đen Tuyền, Đen Tự Nhiên hạ nền Tặng Oxy Trợ Nhuộm Găng Tay Mũ Ủ",MÀU NHUỘM ĐEN TUYỀN
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-Đen-Tự-Nhiên-Đen-Tuyền-Lên-Từ-Mọi-Nền-Tóc-Hạ-Nền-100G-Khanh.Color-i.184558438.20931056934?sp_atk=4fcb47eb-e1a9-4986-8b19-6e8c20c6035d&xptdk=4fcb47eb-e1a9-4986-8b19-6e8c20c6035d,Yêu thíchThuốc Nhuộm Tóc Màu Đen Tự  Nhiên | Đen Tuyền | Lên Từ Mọi Nền Tóc | Hạ Nền 100G- Khanh.Color,Siêu Dưỡng Collagen|||Không
https://shopee.vn/Thuốc-nhuộm-tóc-màu-ĐEN-TUYỀN-theo-trend-BLACKPINK-siêu-cute-dễ-thương-MIEHAIR-i.133858810.23759025516?sp_atk=eeed9be5-f97a-49ab-b57a-a714decc38c5&xptdk=eeed9be5-f97a-49ab-b57a-a714decc38c5,Thuốc nhuộm tóc màu ĐEN TUYỀN theo trend BLACKPINK siêu cute dễ thương MIEHAIR,DƯỠNG THẤP|||KHÔNG
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-Đen-Tuyền-MOLOKAI-Thuốc-Nhuộm-Tóc-Siêu-Dưỡng-Pretty-Valley-Store-i.240287148.7337404079?sp_atk=f56c545f-6329-4a29-b324-0fbef0c13fb5&xptdk=f56c545f-6329-4a29-b324-0fbef0c13fb5,"Yêu thích+Thuốc Nhuộm Tóc Màu Đen Tuyền MOLOKAI, Thuốc Nhuộm Tóc Siêu Dưỡng - Pretty Valley Store",Dưỡng nhiều|||KHÔNG
https://shopee.vn/Thuốc-nhuộm-tóc-màu-Đen-Tuyền-tặng-kèm-oxy-và-gang-tay-i.284355980.18939389714?sp_atk=b2667149-3fac-495b-9276-b931af653fbb&xptdk=b2667149-3fac-495b-9276-b931af653fbb,Thuốc nhuộm tóc màu Đen Tuyền + tặng kèm oxy và gang tay,L1- 59k Dưỡng vừa
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-ĐEN-TUYỀN-Không-Tẩy-Tặng-Oxy-Trợ-Nhuộm-Găng-Tay-Mũ-Ủ-i.411790822.11497344964?sp_atk=d88a0bde-6a97-4c4d-86d6-db13565d60b1&xptdk=d88a0bde-6a97-4c4d-86d6-db13565d60b1,"Yêu thíchThuốc Nhuộm Tóc Màu ĐEN TUYỀN Không Tẩy Tặng Oxy Trợ Nhuộm Găng Tay, Mũ Ủ",MÀU NHUỘM ĐEN TUYỀN
